Id,UserName,Role,CreatedOn
1278a893-4748-4115-b0fe-80a377f80719,waheeda,FinanceHouse.Core.DTO.RoleDTO,07/03/2017
1eb5519c-b08a-485a-90d1-6482bde6e454,checking,FinanceHouse.Core.DTO.RoleDTO,06/20/2017
299a7def-72ce-42c3-be0f-3fc2601a9294,waheedapersonal,FinanceHouse.Core.DTO.RoleDTO,07/04/2017
39110865-1a54-4f57-9fb8-51c01d60c335,admin,FinanceHouse.Core.DTO.RoleDTO,05/08/2017
6edfda76-a7d9-4c0f-b34d-215455d97759,itmaker,FinanceHouse.Core.DTO.RoleDTO,05/08/2017
7ea0e90d-a39f-4f1f-9119-084a84c9b4b0,reportV,FinanceHouse.Core.DTO.RoleDTO,07/04/2017
92d716f9-572d-4058-a0ab-5d3b63640d73,ajdal,FinanceHouse.Core.DTO.RoleDTO,07/03/2017
a1d8921c-e126-4f6f-b110-d00ebe82e9f3,itmakerCheck2,FinanceHouse.Core.DTO.RoleDTO,07/03/2017
ac804ab9-5513-49ff-8ca0-dac05c644c8b,Usman,FinanceHouse.Core.DTO.RoleDTO,06/02/2017
b217830c-ec92-433e-9d4f-e7e32ce56f7f,itchecker,FinanceHouse.Core.DTO.RoleDTO,05/08/2017
b588b29f-1e2c-4f74-9418-6e0bb41c9c04,fh,FinanceHouse.Core.DTO.RoleDTO,07/03/2017
bc96c746-72e7-4bf3-a663-9baa1736ef3e,waheedasimulator,FinanceHouse.Core.DTO.RoleDTO,06/29/2017
bcabc3c3-ffb8-49a4-8c6b-7652ebc75c37,user368,FinanceHouse.Core.DTO.RoleDTO,05/26/2017
d6f81107-6fa3-476e-b561-14de4fa75b53,iphone7,FinanceHouse.Core.DTO.RoleDTO,07/04/2017
d9848a4b-f9c0-4bed-ba7a-51e4e7aa6629,pfoandriod,FinanceHouse.Core.DTO.RoleDTO,05/25/2017
f44afc6c-d6f9-4d39-aac8-1c3509adc0bd,itmakerCheck,FinanceHouse.Core.DTO.RoleDTO,07/03/2017
f81ebf17-7281-4d79-b373-da52c91f1db7,dfgdfg,FinanceHouse.Core.DTO.RoleDTO,07/03/2017
